ID;Nome;DataNascimento;Género;ÁreaResidência;Profissão
618;Gabriel Ribeiro-Macedo;1974-10-20;M;Faro;Técnico operador das tecnologias de informação e comunicação e de apoio aos utilizadores
619;Caetana Carneiro;1969-7-6;F;Setúbal;Trabalhador da confecção de vestuário, curtidor de peles, sapateiro e similares
620;Isabela Reis;1958-2-27;F;Lisboa;Técnico de atividade física e de desporto
621;William da Andrade;1961-11-16;M;Braga;Profissional de nível intermédio da saúde
622;Gil do Matias;1963-4-14;M;Porto;Bibliotecário, arquivista e curador de museus e similares
623;Benedita Figueiredo;1976-10-24;F;Faro;Trabalhador qualificado do fabrico de instrumentos de precisão, joalheiros, artesãos e similares
624;Camila-Iara Jesus;1952-11-27;F;Lisboa;Empregado de aprovisionamento, armazém, de serviços de apoio à produção e transportes
625;Simão Martins;1953-5-2;M;Faro;Trabalhador de limpeza em casas particulares, hotéis e escritórios
626;Gabriela Barbosa;1989-10-7;F;Setúbal;Especialista do ensino
627;Luca Paiva;1977-9-18;M;Braga;Vendedor ambulante (excepto de alimentos)
628;Raquel Lopes;1971-2-17;F;Porto;Agente de negócios
629;Gabriel Loureiro;1966-1-7;M;Setúbal;Prestador de serviços na rua
630;Sara Andrade;1983-2-10;F;Setúbal;Governante doméstico e encarregado de limpeza e de trabalhos domésticos
631;Salomé-Eva Barbosa;1983-2-28;F;Faro;Especialista em organização administrativa
632;Amélia Mendes;1965-2-12;F;Setúbal;Técnico de nível intermédio da área financeira e matemática
633;Naiara Marques;1984-10-9;F;Porto;Técnico e assistente de veterinários
634;Lourenço Mendes;1979-9-28;M;Setúbal;Técnico operacional e controlador dos transportes marítimo e aéreo
635;Jaime Neto;1951-5-19;M;Lisboa;Profissional de nível intermédio da medicina tradicional e complementar
636;Tomé Simões;1953-3-17;M;Porto;Representante do poder legislativo e de órgãos executivos, dirigente superiores da Administração Pública e de organizações especializadas
637;Kevin Rodrigues;1951-9-12;M;Porto;Oficial das Forças Armadas
638;Francisco da Matias;1981-6-20;M;Lisboa;Físico, químico e especialista relacionado
639;Gustavo Guerreiro;1988-1-29;M;Braga;Director dos serviços das tecnologias da informação e comunicação (TIC)
640;Hugo Campos;1959-1-27;M;Braga;Cabeleireiro, esteticista e similares
641;Gabriel Pinheiro;1977-1-26;M;Setúbal;Matemático, actuário, estaticista e demógrafo
642;Mafalda Neto-Cruz;1954-12-8;F;Lisboa;Técnico operador das tecnologias de informação e comunicação e de apoio aos utilizadores
643;Vasco Azevedo;1956-7-24;M;Lisboa;Pintor, limpador de fachadas e similares
644;Beatriz Oliveira;1960-4-4;F;Porto;Agricultor de subsistência
645;Wilson Teixeira;1985-8-4;M;Faro;Técnico e assistente de veterinários
646;Larissa Branco;1963-5-8;F;Lisboa;Pessoal dos serviços de protecção e segurança
647;Eduardo Ramos;1993-4-11;M;Setúbal;Trabalhador da impressão
648;Yara Nogueira;1970-3-18;F;Setúbal;Representante do poder legislativo e de órgãos executivos, dirigente superiores da Administração Pública e de organizações especializadas
649;Íris Neto;1987-1-17;F;Lisboa;Trabalhador qualificado da floresta e similares
650;Isabel Lourenço;1993-7-30;F;Faro;Outras profissões elementares
651;Sofia Monteiro;1984-1-25;F;Setúbal;Trabalhador da montagem
652;Emanuel Vaz;1960-4-6;M;Setúbal;Director dos serviços das tecnologias da informação e comunicação (TIC)
653;Brian Machado;1989-2-25;M;Braga;Director e gerente de outros serviços
654;Caetana Tavares;1968-6-4;F;Setúbal;Técnico operador das tecnologias de informação e comunicação e de apoio aos utilizadores
655;Alícia Silva;1973-7-15;F;Porto;Trabalhador de limpeza em casas particulares, hotéis e escritórios
656;André Gaspar;1971-8-4;M;Lisboa;Vendedor em lojas
657;Andreia de Almeida;1991-7-15;F;Braga;Especialista em ciências da vida
658;Nelson de Monteiro;1981-11-25;M;Faro;Assistente na preparação de refeições
659;Ângela Garcia;1989-8-27;F;Braga;Agricultor e criador de animais de produção combinada, de subsistência
660;Isaac Ferreira;1990-11-16;M;Porto;Cabeleireiro, esteticista e similares
661;Leonor-Mariana Tavares;1997-9-8;F;Braga;Especialista em engenharia (excepto electrotecnologia)
662;Matilde Figueiredo;1968-12-12;F;Porto;Trabalhador relacionado com vendas
663;Luna Barros;1960-3-4;F;Porto;Especialista em organização administrativa
664;Isabela Baptista;1987-4-28;F;Lisboa;Técnico operacional e controlador dos transportes marítimo e aéreo
665;Tomás Domingues;1963-2-7;M;Braga;Administrativo e secretário especializado
666;Rafaela Torres;2000-10-16;F;Braga;Operador de instalações para o fabrico de papel, para o trabalho da madeira e cortiça
667;Gabriela-Carolina Freitas;1995-2-16;F;Faro;Trabalhador qualificado em acabamentos da construção e similares
668;Lia Moura;1970-7-13;F;Setúbal;Técnico e assistente de veterinários
669;Kévim Abreu;1989-8-6;M;Faro;Produtor e trabalhador qualificado na criação animal
670;Ivo Simões;1976-10-18;M;Porto;Instalador e reparador de equipamento eléctrico
671;William Matias-Matias;1966-2-9;M;Setúbal;Trabalhador qualificado da floresta e similares
672;Eduarda Castro;1972-4-10;F;Porto;Mecânico e reparador de máquinas e de veículos
673;Amélia de Pereira;1985-2-5;F;Porto;Especialista em assuntos jurídicos
674;Mariana Torres;1988-4-3;F;Faro;Director de vendas, marketing e de desenvolvimento de negócios
675;Inês Vaz;1966-12-3;F;Braga;Representante do poder legislativo e de órgãos executivos, dirigente superiores da Administração Pública e de organizações especializadas
676;Andreia-Emma Vicente;1998-5-12;F;Faro;Auxiliar de educadores de infância e de professores
677;Vitória Almeida;1976-1-20;F;Braga;Outro pessoal de apoio de tipo administrativo
678;Jorge Amorim;1963-3-17;M;Faro;Trabalhador qualificado da construção das estruturas básicas e similares
679;Gil do Borges;1979-11-28;M;Lisboa;Trabalhador qualificado do fabrico de instrumentos de precisão, joalheiros, artesãos e similares
680;Helena Azevedo;1993-9-28;F;Faro;Trabalhador de limpeza em casas particulares, hotéis e escritórios
681;Constança Branco-Paiva;2000-12-16;F;Porto;Arquitecto, urbanista e designer
682;Carlos Andrade;1972-1-15;M;Faro;Operador de instalações de transformação e acabamento, de metais
683;Laura-Vitória Barros;1985-12-31;F;Braga;Operador de máquinas para o fabrico de produtos de borracha, plástico e papel
684;Salvador Esteves;1964-7-23;M;Braga;Profissional de nível intermédio da saúde
685;Duarte Gomes;1982-1-22;M;Faro;Director dos serviços das tecnologias da informação e comunicação (TIC)
686;Martim Tavares;1975-8-1;M;Braga;Director e gerente de hotelaria e restauração
687;David Nogueira;1965-5-3;M;Braga;Director geral e gestor executivo de empresas
688;Gonçalo Macedo-Batista;1975-6-8;M;Braga;Director de serviços de negócios e de administração
689;Diego Alves;1966-7-2;M;Setúbal;Veterinário
690;Vicente Paiva;1977-2-19;M;Porto;Trabalhador não qualificado da indústria extractiva e construção
691;Lara de Correia;1953-6-23;F;Porto;Maquinista de locomotivas e similares
692;Lia da Ferreira;1955-2-7;F;Braga;Professor dos ensinos, tecnológico, artístico e profissional
693;Eva Maia-Baptista;1960-5-14;F;Lisboa;Profissional de saúde
694;Alexandra Almeida;2001-1-11;F;Lisboa;Professor dos ensinos, tecnológico, artístico e profissional
695;Lisandro Rodrigues;1959-2-12;M;Setúbal;Agente de nível intermédio da Administração Pública, para aplicação da lei e similares
696;Leonardo Torres;1982-12-18;M;Faro;Técnico de atividade física e de desporto
697;Matias Magalhães;1960-6-23;M;Setúbal;Director das indústrias transformadoras, extractivas, da construção, transportes e distribuição
698;Jaime Pinheiro;1950-12-13;M;Porto;Agricultor e criador de animais de produção combinada, de subsistência
699;Pilar Borges;1984-10-1;F;Faro;Agricultor de subsistência
700;Francisco Tavares;1991-2-14;M;Faro;Técnico de nível intermédio das actividades culturais, artísticas e culinárias
701;Naiara Melo;1969-3-21;F;Lisboa;Director e gerente de hotelaria e restauração
702;Bryan Paiva-Amaral;1981-1-17;M;Porto;Técnico de atividade física e de desporto
703;Mara Magalhães;1975-3-21;F;Lisboa;Autor, jornalista e linguista
704;Lucas Martins;1951-7-11;M;Setúbal;Pescador, caçador e colector, de subsistência
705;Henrique da Correia;1963-1-9;M;Braga;Autor, jornalista e linguista
706;Salomé do Silva;1991-5-29;F;Faro;Engenheiro Informático
707;Daniel Nascimento;1957-4-30;M;Setúbal;Trabalhador qualificado da construção das estruturas básicas e similares
708;César Fernandes;1984-8-5;M;Faro;Trabalhador qualificado da floresta e similares
709;Martim Anjos;1983-2-20;M;Lisboa;Veterinário
710;Lourenço Lima;1986-8-26;M;Lisboa;Especialista em ciências sociais e religiosas
711;Anita do Fonseca;1988-1-21;F;Porto;Físico, químico e especialista relacionado
712;Mélanie Marques;1975-12-20;F;Setúbal;Operador de instalações e máquinas, do fabrico de produtos químicos e fotográficos
713;Melissa Neto;1977-3-2;F;Setúbal;Motorista de automóveis ligeiros, de carrinhas e condutores de motociclos
714;Beatriz-Margarida Cruz;1987-2-5;F;Porto;Engenheiro Informático
715;Diana Campos-Coelho;1957-9-3;F;Porto;Operador de instalações e máquinas, do fabrico de produtos químicos e fotográficos
716;Nair Matias;1974-3-6;F;Lisboa;Trabalhador da confecção de vestuário, curtidor de peles, sapateiro e similares
717;Mara-Clara Nunes;1973-1-19;F;Lisboa;Trabalhador qualificado da aquicultura e das pescas; caçador (inclui com armadilha)
718;Bianca Brito-Oliveira;1991-4-1;F;Porto;Empregado de aprovisionamento, armazém, de serviços de apoio à produção e transportes
719;Adriana da Faria;1990-3-10;F;Braga;Especialista em ciências sociais e religiosas
720;Miguel Lourenço;1955-10-23;M;Porto;Matemático, actuário, estaticista e demógrafo
721;Manuel Pires;1981-2-28;M;Setúbal;Instalador e reparadore de equipamentos electrónicos e de telecomunicações
722;Daniela Carvalho;1995-1-23;F;Lisboa;Outras profissões elementares
723;Helena Soares;1974-5-29;F;Lisboa;Trabalhador do tratamento da madeira e cortiça, marceneiros e similares
724;Teresa Guerreiro-Vicente;1970-2-22;F;Faro;Pessoal de recepção e de informação a clientes
725;Bruno do Gonçalves;1987-11-11;M;Lisboa;Agente de negócios
726;Salomé Torres-Mendes;1981-3-8;F;Setúbal;Técnico da medicina e farmácia
727;Valentim Figueiredo;1962-12-13;M;Setúbal;Director e gerente do comércio a retalho e por grosso
728;Victória Gonçalves;1950-5-11;F;Setúbal;Operador de instalações e máquinas, do fabrico de produtos químicos e fotográficos
729;Luís Marques;1955-2-11;M;Faro;Empregado de aprovisionamento, armazém, de serviços de apoio à produção e transportes
730;Micael Simões;1975-10-9;M;Lisboa;Encarregado das indústrias extractiva, transformadora e construção
731;Eduardo Marques;1984-10-14;M;Braga;Empregado de mesa e bar
732;José Alves;1964-8-14;M;Porto;Director de serviços de negócios e de administração
733;Paulo Nogueira;1989-1-31;M;Faro;Trabalhador de cuidados pessoais nos serviços de saúde
734;Isabela Moura-Machado;1985-7-22;F;Lisboa;Técnico operador das tecnologias de informação e comunicação e de apoio aos utilizadores
735;Clara Nascimento;1975-1-23;F;Lisboa;Físico, químico e especialista relacionado
736;Nelson Esteves;1980-6-8;M;Setúbal;Médico
737;Iara Gonçalves;1953-12-21;F;Lisboa;Técnico de atividade física e de desporto
738;Ângela Carvalho-Pereira;1961-3-16;F;Porto;Outro pessoal das Forças Armadas
739;João Sousa;1962-4-20;M;Braga;Trabalhador da impressão
740;Diana do Ferreira;1951-11-25;F;Porto;Especialista em engenharia (excepto electrotecnologia)
741;Lourenço Fernandes;1976-10-1;M;Braga;Trabalhador qualificado da transformação de alimentos
742;Madalena Gonçalves;1997-4-11;F;Setúbal;Técnico operacional e controlador dos transportes marítimo e aéreo
743;Miriam da Mendes;1959-6-11;F;Porto;Agente de nível intermédio da Administração Pública, para aplicação da lei e similares
744;Constança da Barros;1952-7-23;F;Setúbal;Prestador de serviços na rua
745;Vítor Simões;1958-5-11;M;Braga;Operador de equipamentos móveis
746;Lúcia Anjos-Ribeiro;1969-6-17;F;Faro;Operador de dados, de contabilidade, estatística e serviços financeiros
747;Ana Matias;1975-8-12;F;Porto;Operador de dados, de contabilidade, estatística e serviços financeiros
748;Fábio Magalhães;1984-12-10;M;Porto;Técnico de nível intermédio das actividades culturais, artísticas e culinárias
749;Gabriela Neto-Reis;1982-5-9;F;Braga;Motorista de veículos pesados e de autocarros
750;Caetana Carvalho;1957-11-4;F;Lisboa;Director dos serviços das tecnologias da informação e comunicação (TIC)
751;Gil Simões;1958-11-26;M;Porto;Operador de máquinas para o fabrico de produtos têxteis, de pele com pêlo e couro
752;Joaquim Simões;1972-9-10;M;Faro;Auxiliar de enfermagem e parteiras
753;Ismael da Vicente;1991-8-17;M;Porto;Operador de máquinas para o fabrico de produtos têxteis, de pele com pêlo e couro
754;Flor Branco;1955-11-19;F;Setúbal;Oficial das Forças Armadas
755;Maria Gonçalves;1976-12-9;F;Faro;Operador de máquinas para o fabrico de produtos de borracha, plástico e papel
756;Tiago Gomes;1967-3-4;M;Braga;Especialista em medicina tradicional e alternativa
757;Andreia Matias-Leite;1991-3-4;F;Faro;Outro pessoal das Forças Armadas
758;Pilar Figueiredo;1975-2-13;F;Porto;Operador de máquinas do fabrico de produtos alimentares e similares
759;Ricardo Oliveira;1979-11-2;M;Setúbal;Trabalhador da recuperação de resíduos
760;Luciana-Flor Antunes;1967-4-19;F;Faro;Operador de instalações para o fabrico de papel, para o trabalho da madeira e cortiça
761;Erica-Constança Ribeiro;1977-5-22;F;Braga;Trabalhador da confecção de vestuário, curtidor de peles, sapateiro e similares
762;Margarida Matos;1967-10-31;F;Braga;Trabalhador qualificado da transformação de alimentos
763;Bruna Monteiro-Nogueira;1986-1-18;F;Lisboa;Assistente de viagem, cobrador e guia intérprete
764;Bruna da Cruz;1985-4-12;F;Faro;Vendedor ambulante (excepto de alimentos)
765;Melissa Freitas;1963-4-15;F;Faro;Profissional de nível intermédio da saúde
766;Valentina Melo;1968-12-2;F;Porto;Professor dos ensinos, tecnológico, artístico e profissional
767;Rui Miranda;1964-6-4;M;Faro;Professor dos ensinos universitário e superior
768;Rodrigo Ribeiro;1956-11-14;M;Setúbal;Técnico de atividade física e de desporto
769;Lia Lima;1990-7-10;F;Setúbal;Motorista de automóveis ligeiros, de carrinhas e condutores de motociclos
770;Erika Reis;1984-5-18;F;Lisboa;Director de produção na agricultura, produção animal, floresta e pesca
771;António Branco;1990-2-28;M;Setúbal;Director e gerente do comércio a retalho e por grosso
772;Sandro Simões;1974-11-22;M;Porto;Assistente na preparação de refeições
773;Sebastião Brito;1994-11-10;M;Lisboa;Especialista em base de dados e redes
774;Gustavo Barros-Ribeiro;1988-10-21;M;Braga;Tripulante de convés de navios e similares
775;William da Maia;1966-4-5;M;Lisboa;Especialista em ciências sociais e religiosas
776;Júlia Barros;1976-8-12;F;Faro;Trabalhador de outros ofícios
777;Ismael Baptista-Teixeira;1953-10-23;M;Setúbal;Cabeleireiro, esteticista e similares
778;Francisco Figueiredo;1961-7-20;M;Lisboa;Trabalhador qualificado da transformação de alimentos
779;Santiago Sousa-Mota;1955-4-1;M;Lisboa;Operador de caixa e venda de bilhetes
780;Petra Brito;1986-6-4;F;Braga;Trabalhador não qualificado da agricultura, produção animal, pesca e floresta
781;Vitória Figueiredo;1951-1-17;F;Braga;Vendedor ambulante e em mercados
782;Renato Almeida;1970-4-19;M;Setúbal;Especialista em ciências da vida
783;Mia Andrade;1980-12-1;F;Setúbal;Director de serviços de negócios e de administração
784;Tatiana Coelho;1985-9-6;F;Faro;Trabalhador da confecção de vestuário, curtidor de peles, sapateiro e similares
785;Mafalda Vicente;1980-4-20;F;Lisboa;Especialista em engenharia (excepto electrotecnologia)
786;Luca do Nogueira;1984-12-30;M;Porto;Operador de processamento de texto e dados
787;Joana Assunção;1972-8-18;F;Faro;Especialista em engenharia (excepto electrotecnologia)
788;Rafael Gaspar;1961-5-7;M;Braga;Produtor e trabalhador qualificado na criação animal
789;António Barros;1979-4-8;M;Setúbal;Trabalhador não qualificado da agricultura, produção animal, pesca e floresta
790;Victória Ramos-Matias;1959-3-9;F;Faro;Operador de instalações para o fabrico de papel, para o trabalho da madeira e cortiça
791;Santiago Ferreira;1969-1-30;M;Faro;Sargento das Forças Armadas
792;Lara Ribeiro;1981-4-15;F;Setúbal;Director geral e gestor executivo de empresas
793;Patrícia Ribeiro-Alves;1991-8-27;F;Lisboa;Director e gerente de hotelaria e restauração
794;Luca Borges;2000-1-29;M;Faro;Trabalhador de limpeza de veículos, janelas, roupa e de outra limpeza manual
795;Eva Coelho;1992-11-2;F;Braga;Agricultor de subsistência
796;Yasmin Baptista;1983-1-19;F;Porto;Instalador e reparadore de equipamentos electrónicos e de telecomunicações
797;Sebastião do Baptista;1950-1-3;M;Lisboa;Operador de instalações de transformação e acabamento, de metais
798;Gil Cardoso;1984-1-22;M;Faro;Técnico e assistente de veterinários
799;Bruno de Carvalho;1958-5-3;M;Lisboa;Assistente de viagem, cobrador e guia intérprete
800;Bárbara de Araújo;1952-2-16;F;Setúbal;Director de serviços especializados
801;Luna Torres;1969-1-21;F;Faro;Professor dos ensinos básico (2º e 3º ciclos) e secundário
802;Lisandro Pereira-Cruz;1968-7-22;M;Porto;Especialista em engenharia (excepto electrotecnologia)
803;Leonardo Carneiro;1963-9-28;M;Braga;Director geral e gestor executivo de empresas
804;Gaspar Pacheco;1995-4-29;M;Lisboa;Especialista em assuntos jurídicos
805;Gonçalo de Magalhães;1991-11-12;M;Porto;Produtor e trabalhador qualificado na criação animal
806;Afonso Gaspar;1987-8-20;M;Lisboa;Trabalhador qualificado da floresta e similares
807;Miriam Matos;1968-8-25;F;Porto;Cabeleireiro, esteticista e similares
808;Júlia Fonseca;1997-9-21;F;Braga;Profissional de nível intermédio da saúde
809;José do Santos;1956-8-3;M;Porto;Cabeleireiro, esteticista e similares
810;Alice Vaz;1953-2-28;F;Braga;Artista criativo e das artes do espectáculo
811;Luca Lourenço;1987-5-29;M;Faro;Auxiliar de enfermagem e parteiras
812;Rafael Matos;1974-1-24;M;Faro;Director das indústrias transformadoras, extractivas, da construção, transportes e distribuição
813;Joel de Lima;1991-12-25;M;Braga;Veterinário
814;Emília Vaz;1996-8-19;F;Faro;Trabalhador de outros ofícios
815;Mia Azevedo-Marques;1968-5-20;F;Porto;Operador de instalações para o fabrico de papel, para o trabalho da madeira e cortiça
816;Denis Araújo;1964-9-21;M;Porto;Médico
817;Juliana Moura;1957-6-7;F;Braga;Especialista em ciências sociais e religiosas
818;Adriana Vicente-Cunha;1990-10-2;F;Braga;Trabalhador não qualificado de apoio, aos transportes e armazenagem
819;Gabriel Nunes;1987-1-19;M;Lisboa;Técnico operador das tecnologias de informação e comunicação e de apoio aos utilizadores
820;Henrique Carvalho;1984-7-8;M;Braga;Trabalhador qualificado em acabamentos da construção e similares
821;Kévim Faria;1953-4-2;M;Braga;Artista criativo e das artes do espectáculo
822;Isabela-Mélanie Morais;1993-10-31;F;Porto;Técnico das telecomunicações e da radiodifusão
823;Salvador Pinto;1961-4-1;M;Setúbal;Artista criativo e das artes do espectáculo
824;Leandro Fonseca;1966-12-8;M;Braga;Cabeleireiro, esteticista e similares
825;Artur Mota;1975-6-8;M;Porto;Tripulante de convés de navios e similares
826;Débora Castro;1956-3-6;F;Setúbal;Técnico da medicina e farmácia
827;Vasco Reis;1963-10-25;M;Braga;Director de produção na agricultura, produção animal, floresta e pesca
828;Petra Antunes;1954-11-22;F;Porto;Director de serviços de negócios e de administração
829;Alice de Fernandes;1980-7-10;F;Faro;Técnico de nível intermédio das actividades culturais, artísticas e culinárias
830;Carlota-Isabel Teixeira;1980-3-11;F;Faro;Técnico operador das tecnologias de informação e comunicação e de apoio aos utilizadores
831;Kelly Fonseca;1990-9-27;F;Braga;Caixa, penhorista e similares
832;Kyara Correia;1984-3-3;F;Lisboa;Trabalhador de outros ofícios
833;Valentim Assunção;1955-11-16;M;Lisboa;Instalador e reparador de equipamento eléctrico
834;Soraia-Violeta Cunha;1971-5-31;F;Setúbal;Engenheiro Informático
835;William Fernandes;1989-5-6;M;Faro;Operador de instalações fixas e máquinas
836;Lia Castro-Tavares;1957-6-19;F;Braga;Prestador de serviços na rua
837;Afonso Leal;1968-10-20;M;Porto;Técnico de nível intermédio das actividades culturais, artísticas e culinárias
838;Gonçalo Vicente;1977-6-11;M;Lisboa;Maquinista de locomotivas e similares
839;Filipe de Melo;1963-12-3;M;Porto;Técnico e profissões afins das ciências da vida, de nível intermédio
840;William Pacheco;1992-5-2;M;Lisboa;Profissional paramédico
841;Francisca Moreira;1950-7-2;F;Braga;Pintor, limpador de fachadas e similares
842;Núria Moreira-Valente;1962-5-14;F;Braga;Trabalhador de limpeza em casas particulares, hotéis e escritórios
843;Carminho Teixeira;1978-3-1;F;Braga;Trabalhador de cuidados pessoais nos serviços de saúde
844;Artur Sousa;1972-8-14;M;Porto;Agricultor e trabalhador qualificado de culturas agrícolas de mercado
845;Eva Magalhães-Ramos;1965-5-16;F;Braga;Trabalhador relacionado com vendas
846;Lúcia Oliveira-Pinho;1957-6-7;F;Lisboa;Trabalhador não qualificado da agricultura, produção animal, pesca e floresta
847;Eva Gaspar;1972-7-19;F;Setúbal;Operador de instalações para o fabrico de papel, para o trabalho da madeira e cortiça
848;Ema Torres;1977-12-13;F;Braga;Pessoal de recepção e de informação a clientes
849;Irina Miranda-Andrade;1971-4-3;F;Porto;Técnico operador das tecnologias de informação e comunicação e de apoio aos utilizadores
850;Naiara Fernandes;1958-1-8;F;Lisboa;Outro pessoal das Forças Armadas
851;Matilde do Garcia;1982-2-15;F;Lisboa;Operador de caixa e venda de bilhetes
852;Yasmin Santos;1970-8-11;F;Faro;Director e gerente de outros serviços
853;Dinis Gaspar;1998-5-6;M;Porto;Oficial das Forças Armadas
854;Noah Faria;1962-9-9;M;Braga;Motorista de veículos pesados e de autocarros
855;Fernando Miranda;1956-1-9;M;Lisboa;Trabalhador de chapas metálicas, preparador e montador de estruturas metálicas, moldador de metal, soldador e trabalhador similares
856;Nelson Vicente;1990-7-3;M;Porto;Trabalhador de limpeza de veículos, janelas, roupa e de outra limpeza manual
857;Rafael Baptista;1984-3-7;M;Braga;Agricultor e trabalhador qualificado de culturas agrícolas de mercado
858;Matilde do Matos;1998-8-13;F;Setúbal;Mecânico e reparador de máquinas e de veículos
859;Gabriela da Assunção;1987-6-17;F;Faro;Agente de negócios
860;Gustavo Magalhães;1963-2-4;M;Braga;Trabalhador não qualificado da indústria extractiva e construção
861;Xavier de Leite;1967-8-28;M;Lisboa;Trabalhador de limpeza de veículos, janelas, roupa e de outra limpeza manual
862;Hugo Antunes;1974-9-26;M;Faro;Especialista em assuntos jurídicos
863;Irina Barbosa;1960-7-23;F;Porto;Trabalhador qualificado da construção das estruturas básicas e similares
864;Henrique Santos-Teixeira;1960-5-12;M;Braga;Técnico operacional e controlador dos transportes marítimo e aéreo
865;Santiago Araújo-Campos;1957-12-28;M;Lisboa;Caixa, penhorista e similares
866;Pedro Pinto;1996-7-14;M;Setúbal;Outras profissões elementares
867;Valentim do Miranda;1954-8-2;M;Lisboa;Sargento das Forças Armadas
868;João Monteiro;1966-10-16;M;Porto;Trabalhador do tratamento da madeira e cortiça, marceneiros e similares
869;Diogo Nascimento;1986-11-19;M;Faro;Cabeleireiro, esteticista e similares
870;Bernardo Pinho;1955-4-12;M;Porto;Agricultor e trabalhador qualificado de culturas agrícolas de mercado
871;Gonçalo Matos;1991-12-7;M;Porto;Empregado de mesa e bar
872;Renata do Maia;1961-6-23;F;Lisboa;Assistente na preparação de refeições
873;Vasco Fonseca;1985-5-21;M;Lisboa;Profissional de nível intermédio da saúde
874;Carminho Magalhães;1970-2-8;F;Setúbal;Agente de nível intermédio da Administração Pública, para aplicação da lei e similares
875;Patrícia Rodrigues;1974-5-19;F;Lisboa;Instalador e reparadore de equipamentos electrónicos e de telecomunicações
876;Constança Valente-Anjos;1982-5-5;F;Faro;Vendedor em lojas
877;Lúcia Mota;1979-4-3;F;Braga;Analista e programador, de software, Web e de aplicações
878;Madalena Garcia;1971-12-26;F;Faro;Agricultor e criador de animais de produção combinada, de subsistência
879;Leandro Cruz;1976-4-30;M;Faro;Trabalhador dos serviços pessoais
880;Kelly Loureiro;1975-5-21;F;Braga;Médico
881;Anita Gaspar;1979-11-30;F;Lisboa;Pescador, caçador e colector, de subsistência
882;Noa Costa;1959-3-2;M;Faro;Operador de instalações de transformação e acabamento, de metais
883;Melissa Oliveira;1952-8-25;F;Lisboa;Trabalhador de limpeza em casas particulares, hotéis e escritórios
884;Júlia do Lourenço;1960-9-21;F;Faro;Trabalhador da confecção de vestuário, curtidor de peles, sapateiro e similares
885;Dinis Loureiro;1973-11-5;M;Faro;Assistente na preparação de refeições
886;Kevin Domingues;1982-4-20;M;Faro;Trabalhador da confecção de vestuário, curtidor de peles, sapateiro e similares
887;Ariana Paiva;1992-11-30;F;Faro;Técnico de secretariado
888;Rafael Melo;1961-10-30;M;Braga;Professor dos ensinos básico (1º ciclo) e educador de infância
889;Erica-Soraia Andrade;1996-6-23;F;Porto;Físico, químico e especialista relacionado
890;Miriam-Tatiana Marques;1995-12-1;F;Porto;Trabalhador da recuperação de resíduos
891;Sandro Monteiro;1978-12-2;M;Lisboa;Agricultor e trabalhador qualificado de culturas agrícolas de mercado
892;Kyara Esteves;1950-10-19;F;Lisboa;Trabalhador qualificado em acabamentos da construção e similares
893;Anita Rocha-Figueiredo;1968-12-29;F;Porto;Especialista em finanças e contabilidade
894;Tiago Teixeira;1973-5-31;M;Setúbal;Produtor e trabalhador qualificado na criação animal
895;Pedro Guerreiro;1967-8-1;M;Porto;Maquinista de locomotivas e similares
896;Nelson Monteiro;1984-9-15;M;Porto;Produtor e trabalhador qualificado na criação animal
897;Salomé Nunes;1961-7-23;F;Setúbal;Operador de dados, de contabilidade, estatística e serviços financeiros
898;Carolina-Laura Lourenço;1984-2-23;F;Porto;Operador de instalações, da extracção mineira e de processamento de minerais
899;Kevin Carneiro;1992-10-29;M;Setúbal;Especialista em engenharia (excepto electrotecnologia)
900;César Machado-Araújo;1951-12-3;M;Braga;Engenheiro Informático
901;Victória de Borges;1973-10-9;F;Porto;Director de vendas, marketing e de desenvolvimento de negócios
902;Fábio da Cunha;1991-12-21;M;Setúbal;Assistente na preparação de refeições
903;Caetana Almeida;1997-7-5;F;Setúbal;Agricultor e trabalhador qualificado da agricultura e produção animal combinadas, orientados para o mercado
904;Renata Barbosa;1961-12-8;F;Faro;Maquinista de locomotivas e similares
905;Rodrigo Soares;1991-12-6;M;Setúbal;Agricultor de subsistência
906;Mariana de Monteiro;1975-4-18;F;Setúbal;Mecânico e reparador de máquinas e de veículos
907;Gustavo Lourenço;1960-4-29;M;Braga;Especialista em finanças e contabilidade
908;Adriana Castro;1991-6-9;F;Porto;Governante doméstico e encarregado de limpeza e de trabalhos domésticos
909;Ivan Alves;1967-6-3;M;Lisboa;Veterinário
910;Yara Valente;1977-5-25;F;Faro;Agricultor de subsistência
911;Tomás Torres;1997-8-30;M;Setúbal;Produtor e trabalhador qualificado na criação animal
912;Maria Barros;1976-9-13;F;Faro;Médico
913;Cristiano Cunha;1951-9-22;M;Lisboa;Director de serviços de negócios e de administração
914;Noa Nunes;1999-11-29;M;Faro;Outro pessoal das Forças Armadas
915;Irina Morais;1986-10-21;F;Setúbal;Técnico de nível intermédio das actividades culturais, artísticas e culinárias
916;Camila Rodrigues;1967-4-20;F;Porto;Engenheiro Informático
917;Leonardo Nunes;1985-5-29;M;Setúbal;Especialista em vendas, marketing e relações públicas
918;Daniela Leal;1964-5-29;F;Braga;Produtor e trabalhador qualificado na criação animal
919;Jaime Freitas;1957-6-15;M;Faro;Técnico de secretariado
920;Lisandro Nascimento;1983-3-12;M;Porto;Agricultor e trabalhador qualificado de culturas agrícolas de mercado
